normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds
007 ein quantum trost,007 Ein Quantum Trost,CBS022009DVDGold,1,1,high,disc-metadata-value
18 wheels of steel haulin,18 Wheels of Steel Haulin,CBS042008DVD,1,1,high,disc-metadata-value
18 wheelsof steel haulin,18 Wheelsof Steel Haulin,CBS042008DVD,1,1,high,disc-metadata-value
187 ride or die,187 Ride or Die,CBS082005DVD,1,1,high,disc-metadata-value
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,CBS072005DVD,1,1,high,disc-metadata-value
4 story,4 Story,CBS072009DVD,1,1,high,disc-metadata-value
442 fussball manager,442 Fussball Manager,CBS112005DVD,1,1,high,disc-metadata-value
a vampyre story,A Vampyre Story,CBS022009DVD,1,1,high,disc-metadata-value
abdurchdie hecke,Abdurchdie Hecke,CBS082006DVD,1,1,high,disc-metadata-value
absolute blue,Absolute Blue,CBS082005DVD,1,1,high,disc-metadata-value
achtung roboter,Achtung Roboter,CBS082005DVD,1,1,high,disc-metadata-value
act of war direct action,Act of War Direct Action,CBS032005DVD,2,2,high,disc-metadata-value
act of war high treason,Act of War High Treason,CBS042006DVD,1,1,high,disc-metadata-value
actua soccer 2,Actua Soccer 2,CBS092000,1,1,high,vollversion-fullversion
actua soccer featuring oliver bierhoff,Actua Soccer Featuring Oliver Bierhoff,CBS062006DVD,1,1,high,disc-metadata-value
adash stadt der magie kapitel11,Adash - Stadt der Magie - Kapitel 11,CBS112008DVD,1,1,high,disc-metadata-value
adrenalin extreme show,Adrenalin Extreme Show,CBS062006DVD,1,1,high,disc-metadata-value
afrika corps vs,Afrika Corps vs,CBS042005DVD,1,1,high,disc-metadata-value
agatha christie,Agatha Christie,CBS032006DVD,1,1,high,disc-metadata-value
agatha christie das bseunterder sonne,Agatha Christie Das Bseunterder Sonne,CBS042008DVD,1,1,high,disc-metadata-value
agatha christie mordim orient express,Agatha Christie Mordim Orient Express,CBS032007DVDGold,1,1,high,disc-metadata-value
agatha christie unddanngabskeinesmehrv,Agatha Christie Unddanngabskeinesmehrv,CBS052006DVD,1,1,high,disc-metadata-value
age of conan,Age of Conan,CBS032006DVD,1,1,high,disc-metadata-value
age of empires,Age of Empires Gold Edition,CBS082004,1,1,high,vollversion-fullversion
age of empires 3v 1,Age of Empires 3 v 1,CBS042006DVD,1,1,high,disc-metadata-value
age of empires 3v 1 01a,Age of Empires 3 v 1 01a,CBS022006DVD,1,1,high,disc-metadata-value
age of mythology,Age of Mythology,CBS012009DVDGold,1,1,high,disc-metadata-value
ageof empires ageof discoveryv,Ageof Empires Ageof Discoveryv,CBS072006DVD,1,1,high,disc-metadata-value
ageof empires the war chiefs,Ageof Empires The War Chiefs,CBS012007DVDGOLD,1,1,high,disc-metadata-value
ageof empiresv,Ageof Empiresv,CBS052006DVD,3,3,high,disc-metadata-value
ages of empires 3,Ages of Empires 3,CBS112005DVD,1,1,high,disc-metadata-value
agon the lost sword of toledo,Agon The Lost Sword of Toledo,CBS052008DVD,1,1,high,disc-metadata-value
agon the lost swordof toledo,Agon The Lost Swordof Toledo,CBS052008DVD,1,1,high,disc-metadata-value
air conflicts,Air Conflicts,CBS062006DVD,1,1,high,disc-metadata-value
air strike 3d 2,Air Strike 3 D 2,CBS092005DVD,1,1,high,disc-metadata-value
airlines tycoon deluxe,Airlines Tycoon Deluxe,CBS122004DVD,1,1,high,disc-metadata-value
al emmoandthe lost dutchmans mine,Al Emmoandthe Lost Dutchmans Mine,CBS112006DVD,1,1,high,disc-metadata-value
alan wake,Alan Wake,CBS082006DVD,1,1,high,disc-metadata-value
alarmfr cobra nitro,Alarmfr Cobra Nitro,CBS012007DVD,1,1,high,disc-metadata-value
alarmfr cobra11 crash timev111,Alarmfr Cobra11 Crash Timev111,CBS022008DVD,1,1,high,disc-metadata-value
alexander,Alexander,CBS022005DVD,1,1,high,disc-metadata-value
alexander die stunde der helden,Alexander Die Stunde der Helden,CBS052008DVD,1,1,high,disc-metadata-value
alexander die stundeder helden,Alexander Die Stundeder Helden,CBS052008DVD,1,1,high,disc-metadata-value
alien arena,Alien Arena,CBS062008DVDGold,1,1,high,disc-metadata-value
alien shooter,Alien Shooter,CBS092006DVD,1,1,high,disc-metadata-value
aliens pinball,Aliens Pinball,CBS102006DVD,1,1,high,disc-metadata-value
all star strip poker,All Star Strip Poker,CBS092006DVD,1,1,high,disc-metadata-value
alone in the dark komplettl sung,Alone in the Dark Komplettlösung,CBS092008DVD,1,1,high,disc-metadata-value
aloneinthe dark,Aloneinthe Dark,CBS082006DVD,1,1,high,disc-metadata-value
aloneinthe dark komplettlsung,Aloneinthe Dark Komplettlsung,CBS092008DVD,1,1,high,disc-metadata-value
alternate flip,Alternate Flip,CBS012005DVD,1,1,high,disc-metadata-value
america,America,CBS082003,1,1,high,vollversion-fullversion
american conquest fight back,American Conquest Fight Back,CBS102006DVD,1,1,high,disc-metadata-value
andersens maedchen,Andersens Maedchen,CBS102005DVD,1,1,high,disc-metadata-value
angel knig spinnfischenin deutschland,Angel Knig Spinnfischenin Deutschland,CBS022008DVD,1,1,high,disc-metadata-value
angriff auf die westfront,Angriff auf die Westfront,CBS092005DVD,1,1,high,disc-metadata-value
ankh herz des osiris v 1,Ankh Herz des Osiris v 1,CBS032008DVD,1,1,high,disc-metadata-value
ankh herzdes osiris,Ankh Herzdes Osiris,CBS012007DVD,1,1,high,disc-metadata-value
ankh kampfder gtter,Ankh Kampfder Gtter,CBS022008DVDGold,1,1,high,disc-metadata-value
anno1602,Anno 1602,CBS072003,1,1,high,vollversion-fullversion
ansto,Ansto Edition,CBS072006DVD,1,1,high,disc-metadata-value
anstoss,Anstoss Edition,CBS072006DVD,2,2,high,disc-metadata-value
anstoss 3,Anstoss 3,CBS112003,1,1,high,vollversion-fullversion
anstoss action,Anstoss Action,CBS122003 (CD1),2,2,high,vollversion-fullversion
anstov,Anstov,CBS112006DVD,1,1,high,disc-metadata-value
anstov zwei,Anstov Zwei,CBS112006DVD,1,1,high,disc-metadata-value
anti twin,Anti Twin,CBS042008DVD,1,1,high,disc-metadata-value
antira mexiko,"Antira, Mexiko",CBS012005DVD,1,1,high,disc-metadata-value
aquanox 2,Aquanox 2,CBS092004DVD,1,1,high,vollversion-fullversion
arena wars,Arena Wars,CBS112004DVD,2,2,high,disc-metadata-value
arena wars v 1 1,Arena Wars v 1 1,CBS012005DVD,1,1,high,disc-metadata-value
arma 2,arma 2,CBS102009DVDGold,1,1,high,disc-metadata-value
armagetron advanced,Armagetron Advanced,CBS072009DVD,1,1,high,disc-metadata-value
armed assault,Armed Assault,CBS032007DVDGold,1,1,high,disc-metadata-value
armies of exigo,Armies of Exigo,CBS112004DVD,2,2,high,disc-metadata-value
armiesof exigo,Armiesof Exigo,CBS122008DVD,1,1,high,disc-metadata-value
armor digit,armor digit,CBS012005DVD,1,1,high,disc-metadata-value
armour of god 2,Armour of God 2,CBS032008DVD,1,1,high,disc-metadata-value
armourof god2,Armourof God2,CBS032008DVD,1,1,high,disc-metadata-value
asghan,Asghan,CBS012001,1,1,high,vollversion-fullversion
ashampoo firewall,Ashampoo Firewall,CBS052008DVD,1,1,high,disc-metadata-value
ashampoo magical,Ashampoo Magical,CBS042008DVD,1,1,high,disc-metadata-value
ashampoo power up xpplatinum2,Ashampoo Power Up XPPlatinum2,CBS042008DVD,1,1,high,disc-metadata-value
ashampoo win optimizer 4,Ashampoo Win Optimizer 4,CBS042008DVD,1,1,high,disc-metadata-value
ashampoo win optimizer4,Ashampoo Win Optimizer4,CBS042008DVD,1,1,high,disc-metadata-value
assassins creed,Assassins Creed,CBS082006DVD,2,2,high,disc-metadata-value
assassins creed spieltricks,Assassins Creed Spieltricks,CBS052008DVD,1,1,high,disc-metadata-value
assault heroes,Assault Heroes,CBS062008DVD,1,1,high,disc-metadata-value
asterix obelix xxl 2,Asterix Obelix XXL 2,CBS032006DVD,1,1,high,disc-metadata-value
athletics,Athletics,CBS092001,1,1,high,vollversion-fullversion
atlantis evolution,Atlantis Evolution,CBS012005DVD,1,1,high,disc-metadata-value
augustus,Augustus,CBS012006DVD,1,1,high,"disc-manifest-path,disc-metadata-command,disc-metadata-value"
